Book,Movie,IMDb ID,IMDb Rating,Gross Revenue,Budget,Net Profit
Ben-Hur: A Tale of the Christ,Ben-Hur,tt0052618,8.1,196200000,15900000,180300000
Biruma no tategoto,Biruma no tategoto,tt0049012,8.1,,,
The Body,Stand by Me,tt0092005,8.1,52287414,8000000,44287414
The Bourne Ultimatum,The Bourne Ultimatum,tt0440963,8.1,442824138,110000000,332824138
Dodsworth,Dodsworth,tt0027532,8.1,,,
Farewell My Concubine,Ba wang bie ji,tt0106332,8.1,5216888,,
Le Feu Follet,Le feu follet,tt0057058,8.1,,,
Frankenstein (Mary Shelley),Young Frankenstein,tt0072431,8.1,86300000,2800000,83500000
The Grapes of Wrath,The Grapes of Wrath,tt0032551,8.1,,800000,
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows: Part 2,tt1201607,8.1,1341511219,125000000,1216511219
The Help (Kathryn Stockett),The Help,tt1454029,8.1,216639112,25000000,191639112
The Hustler (Walter Tevis),The Hustler,tt0054997,8.1,,2000000,
Im Westen Nichts Neues,All Quiet on the Western Front,tt0020629,8.1,3270000,1448864,1821136
Jaws,Jaws,tt0073195,8.1,470653000,8000000,462653000
Jurassic Park,Jurassic Park,tt0107290,8.1,1029153882,63000000,966153882
The Last Picture Show,The Last Picture Show,tt0067328,8.1,29133000,1300000,27833000
The Last Ride,The Missing,tt3877200,8.1,,,
Laura,Laura,tt0037008,8.1,,,
The Leopard (Giuseppe Tomasi di Lampedusa),Il gattopardo,tt0057091,8.1,,,
The Luck of Barry Lyndon,Barry Lyndon,tt0072684,8.1,31500000,11000000,20500000
The Night of the Hunter,The Night of the Hunter,tt0048424,8.1,,795000,
No Country for Old Men,No Country for Old Men,tt0477348,8.1,171627166,25000000,146627166
Oil! (Upton Sinclair),There Will Be Blood,tt0469494,8.1,40218903,25000000,15218903
The Ox-Bow Incident,The Ox-Bow Incident,tt0036244,8.1,,,
The Princess Bride,The Princess Bride,tt0093779,8.1,30857814,16000000,14857814
The Road (Cormac McCarthy),La strada,tt0047528,8.1,,,
Shutter Island,Shutter Island,tt1130884,8.1,294804195,80000000,214804195
Solaris,Solyaris,tt0069293,8.1,,,
Strangers on a Train,Strangers on a Train,tt0044079,8.1,,1200000,
All the Rivers Run,All the Rivers Run,tt0086663,8,,,
And Then There Were None,Desyat negrityat,tt0092879,8,,,
The Apple Dumpling Gang,Tales of the Apple Dumpling Gang,tt0084758,8,,,
Lift to the Scaffold,Ascenseur pour l'échafaud,tt0051378,8,263404,,
Auntie Mame,Auntie Mame,tt0051383,8,23300000,2240000,21060000
Be Ready with Bells and Drums,A Patch of Blue,tt0059573,8,,800000,
The Beast,King Kong,tt0024216,8,10000000,670000,9330000
The Beast Must Die,Que la bête meure,tt0064861,8,,,
Being There,Being There,tt0078841,8,30177511,,
Big Fish: A Novel of Mythic Proportions,Big Fish,tt0319061,8,122919055,70000000,52919055
The Big Heat,The Big Heat,tt0045555,8,,,
Black Narcissus,Black Narcissus,tt0039192,8,,,
Casino Royale,Casino Royale,tt0381061,8,599045960,150000000,449045960
Cracking India,Earth,tt0393597,8,108975160,,
Dances with Wolves (Michael Blake),Dances with Wolves,tt0099348,8,424200000,19000000,405200000
The Dark Fields (Alan Glynn),Limitless,tt4422836,8,,,
Doctor Zhivago,Doctor Zhivago,tt0059113,8,111721910,11000000,100721910
East of Eden,East of Eden,tt0048028,8,,,
The Exorcist,The Exorcist,tt0070047,8,441306145,8000000,433306145
