Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
Anthony Adverse;Anthony Adverse;tt0027300;6.6;;1050500;
Antikiller;[Anti]killer;tt0325005;5.6;;1500000;
Antonieta;Antonieta;tt0083567;5.8;;;
Apache Rising;Duel at Diablo;tt0060355;6.7;;;
A Job for Jenny;Apartment for Peggy;tt0040104;7.2;;;
The Apocalypse Watch;The Apocalypse Watch;tt0120027;4.6;;;
The Apple Dumpling Gang;Tales of the Apple Dumpling Gang;tt0084758;8.0;;;
Appointment with Death;Appointment with Death;tt0094669;6.1;960040;;
Appointment with Venus;Appointment with Venus;tt0043293;6.0;;;
The Apprenticeship of Duddy Kravitz;The Apprenticeship of Duddy Kravitz;tt0071155;6.8;;;
Armageddon 2419 A.D.;Buck Rogers;tt0032290;7.2;;;
The Army of Shadows;L'armée des ombres;tt0064040;8.2;741766;;
Arouse and Beware;The Man from Dakota;tt0031617;5.1;;;
Arrowsmith 1925;Arrowsmith;tt0021622;6.2;;;
El Asalto;L'assaut;tt1793239;6.1;;;
Lift to the Scaffold;Ascenseur pour l'échafaud;tt0051378;8.0;263404;;
Ask the Dust;Ask the Dust;tt0384814;5.8;742614;;
Asking for Trouble;The Wedding Date;tt0372532;6.1;47175038;15000000;32175038
The Asphalt Jungle;The Asphalt Jungle;tt0042208;7.9;;;
The Assassination Bureau, Ltd;The Assassination Bureau;tt0064045;6.7;;;
The Assassination of Jesse James by the Coward Robert Ford;The Assassination of Jesse James by the Coward Robert Ford;tt0443680;7.6;3904982;30000000;-26095018
L'Assommoir;Gervaise;tt0049259;7.5;;;
Assunta Spina;Assunta Spina;tt0003637;6.5;;;
The Astronauts;Der schweigende Stern;tt0053250;4.3;;;
Asylum 1996;Asylum;tt0348505;6.2;374903;;
At Play in the Fields of the Lord;At Play in the Fields of the Lord;tt0101373;6.8;1342903;36000000;-34657097
At the Earth's Core;Journey to the Center of the Earth;tt0373051;5.8;241995151;45000000;196995151
Atlantis;Atlantis;tt2705602;6.7;;;
Atonement;Atonement;tt0783233;7.8;129266061;30000000;99266061
Audrey Rose;Audrey Rose;tt0075704;5.9;;;
The Auction Block;The Auction Block;tt0016616;0;;;
Auntie Mame;Auntie Mame;tt0051383;8.0;23300000;2240000;21060000
Avalon High;Avalon High;tt1614950;5.7;;;
The Aviator;The Aviator;tt0088758;5.5;1304192;;
Away All Boats;Away All Boats;tt0048971;6.3;3500000;;
An Awfully Big Adventure;An Awfully Big Adventure;tt0112427;6.0;258195;4000000;-3741805
The Ax 1997;Le couperet;tt0422015;7.4;;;
Ayat-Ayat Cinta;Ayat-ayat cinta;tt1198186;7.1;;;
Baby Love;Baby Love;tt0078819;4.1;;;
Babylon Babies;Babylon A.D.;tt0364970;5.6;22531698;70000000;-47468302
Back Street;Back Street;tt0054653;6.7;;;
Back When We Were Grownups;Back When We Were Grownups;tt0387851;6.5;;;
Eric Ambler;Background to Danger;tt0035659;6.5;;;
Bad Girl 1928;Bad Girl;tt0021635;6.7;;;
The Bad Seed;The Bad Seed;tt0048977;7.5;;1000000;
Baise-moi;Baise-moi;tt0249380;4.5;74018;;
The Bait;L'appât;tt0112387;6.9;40617;;
The Ballad of Cat Ballou;Cat Ballou;tt0059017;6.9;20666667;;
The Ballad of the Flim-Flam Man;The Flim-Flam Man;tt0061678;7.0;;;
The Ballad of the Running Man ;The Running Man;tt0093894;6.6;38122105;27000000;11122105
Balzac et la petite tailleuse chinoise;Xiao cai feng;tt0291032;7.2;665260;;
Band of Angels;Band of Angels;tt0050166;6.6;;;
Bank Shot;Bank Shot;tt0071194;5.4;;;
Banner in the Sky;Third Man on the Mountain;tt0053352;7.4;;;
The Barefoot Mailman;The Barefoot Mailman;tt0043319;6.3;;;
Basil of Baker Street;The Great Mouse Detective;tt0091149;7.2;38625550;14000000;24625550
Bastard Out of Carolina;Bastard Out of Carolina;tt0115633;7.4;;;
Battle Cry;Battle Cry;tt0047860;6.6;17440000;;
The Battle of the Villa Fiorita;The Battle of the Villa Fiorita;tt0058949;5.9;;;
Battle Royale;Batoru rowaiaru;tt0266308;7.7;;4500000;
Battlefield Earth;Battlefield Earth;tt0185183;2.4;21471685;44000000;-22528315
Be Cool;Be Cool;tt0377471;5.6;95226116;53000000;42226116
Be Ready with Bells and Drums;A Patch of Blue;tt0059573;8.0;;800000;
Be Still, My Love;The Accused;tt0094608;7.1;32069318;6000000;26069318
The Beach;La spiaggia;tt0046352;6.8;;;
Beaches;Beaches;tt0094715;6.7;57041866;;
The Beardless Warriors;The Young Warriors;tt0062516;6.1;;;
The Beast;King Kong;tt0024216;8.0;10000000;670000;9330000
The Beast Master;The Beastmaster;tt0083630;6.2;14056528;8000000;6056528
The Beast Must Die;Que la bête meure;tt0064861;8.0;;;
The Beast Within;The Beast Within;tt0083629;5.4;7742572;;
Beat the Devil;Beat the Devil;tt0046414;6.7;;1000000;
Beau Brocade;Beau Brocade;tt0317127;0;;;
Beau Geste;Beau Geste;tt0031088;7.9;;;
Beautiful Creatures;Beautiful Creatures;tt1559547;6.2;60052138;60000000;52138
Bedelia;Bedelia;tt0038342;6.7;;;
Bee Season;Bee Season;tt0387059;5.5;4432349;14000000;-9567651
Beer and Blood: The Story of a Couple o' Wrong Guys;The Public Enemy;tt0022286;7.8;;;
Before the Fact;Suspicion;tt0034248;7.5;4500000;1103000;3397000
Behind That Curtain;Behind That Curtain;tt0019684;4.8;;;
Being There;Being There;tt0078841;8.0;30177511;;
Bel Ami;The Private Affairs of Bel Ami;tt0039735;6.8;;;
Belle de Jour;Secret Diary of a Call Girl;tt1000734;7.4;;;
Belli Moda;Belli Moda;tt0231246;7.3;;;
Bellman and True;Bellman and True;tt0092636;6.9;226944;;
Beloved;Beloved;tt0120603;5.8;22852487;53000000;-30147513
Belphegor;Belphégor - Le fantôme du Louvre;tt0214529;4.4;;;
Ben-Hur: A Tale of the Christ;Ben-Hur;tt0052618;8.1;196200000;15900000;180300000
Benjamin Blake;Son of Fury: The Story of Benjamin Blake;tt0035360;7.1;;;
Benzina;Benzina;tt0302309;5.2;4307;;
Beowulf;Beowulf;tt0442933;6.3;196393745;150000000;46393745
Berlin Alexanderplatz;Berlin Alexanderplatz;tt0080196;8.8;;;
La bestia nel cuore;La bestia nel cuore;tt0443446;6.6;27105;;
La Bete humaine;La bête humaine;tt0029957;7.7;;;
The Betsy;The Betsy;tt0077228;5.0;17685000;;
Beyond the Forest: The Story of a Man and Woman Destroyed by Love;Beyond the Forest;tt0041172;7.1;;;
Beyond This Place;Kala Pani;tt0255289;8.2;;;
The BFG;The BFG;tt3691740;0;;;
Bhowani Junction;Bhowani Junction;tt0049007;6.4;4875000;3637000;1238000
Bid Time Return;Somewhere in Time;tt0081534;7.3;;5100000;
The Beginning and the End;Bidaya wa nihaya;tt0053652;7.8;;;
The Big Bounce;The Big Bounce;tt0315824;4.9;6471394;50000000;-43528606
The Big Clock;The Big Clock;tt0040160;7.7;;;
Big Fish: A Novel of Mythic Proportions;Big Fish;tt0319061;8.0;122919055;70000000;52919055
The Big Fisherman;The Big Fisherman;tt0052627;6.0;;4000000;
The Big Heat;The Big Heat;tt0045555;8.0;;;
Big Red;That's What I Am;tt1606180;7.1;;5000000;
The Big Sleep;The Big Lebowski;tt0118715;8.2;17451873;15000000;2451873
Big Trouble;Big Trouble;tt0246464;6.5;7262288;40000000;-32737712
Biggles;It Couldn't Happen Here;tt0093284;6.7;;;
