Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
The Bride Wore Black;La mariée était en noir;tt0061955;7.3;42324;747000;-704676
Brideshead Revisited, The Sacred and Profane Memories of Captain Charles Ryder;Brideshead Revisited;tt0412536;6.7;6414563;20000000;-13585437
The Bridge of San Luis Rey;The Bridge of San Luis Rey;tt0356443;5.1;42880;24000000;-23957120
Bridge to Terabithia;Bridge to Terabithia;tt0398808;7.2;137587063;17000000;120587063
The Bridges of Madison County;The Bridges of Madison County;tt0112579;7.5;182016617;35000000;147016617
Bridget Jones;Bridget Jones's Diary;tt0243155;6.7;281929795;26000000;255929795
Bright Lights, Big City;Bright Lights, Big City;tt0094799;5.6;16118077;25000000;-8881923
Bringing Out the Dead;Bringing Out the Dead;tt0163988;6.8;16640210;55000000;-38359790
Buffalo Soldiers;Buffalo Soldiers;tt0252299;6.9;353743;15000000;-14646257
BUtterfield 8;BUtterfield 8;tt0053622;6.4;16462599;2500000;13962599
Carlito's Way;Carlito's Way;tt0106519;7.9;63848322;30000000;33848322
The House of the Spirits;The House of the Spirits;tt0107151;6.9;6265311;25000000;-18734689
Casino Royale;Casino Royale;tt0381061;8.0;599045960;150000000;449045960
The Castle;The Last Castle;tt0272020;6.9;18208078;60000000;-41791922
Catch-22;Catch-22;tt0065528;7.2;24911670;18000000;6911670
A Certain Mr. Takahashi;The Pianist;tt0253474;8.5;120072577;35000000;85072577
The Chamber;The Chamber;tt0115862;5.9;22540359;50000000;-27459641
Charlie and the Chocolate Factory;Willy Wonka & the Chocolate Factory;tt0067992;7.8;4000000;3000000;1000000
The Children of Men;Children of Men;tt0206634;7.9;68327768;76000000;-7672232
Chocolat;Chocolat;tt0241303;7.3;152699946;25000000;127699946
Christine;Christine;tt0085333;6.6;21200000;9700000;11500000
The Lion, the Witch and the Wardrobe;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;tt0363771;6.9;745013115;180000000;565013115
Prince Caspian;The Chronicles of Narnia: Prince Caspian;tt0499448;6.6;419651413;225000000;194651413
The Voyage of the Dawn Treader;The Chronicles of Narnia: The Voyage of the Dawn Treader;tt980970;6.3;418186950;155000000;263186950
The Chronicles of Prydain;The Black Cauldron;tt0088814;6.4;21288692;44000000;-22711308
The Cider House Rules;The Cider House Rules;tt0124315;7.4;88545092;24000000;64545092
Cimarron;Cimarron;tt0053715;6.4;4825000;5421000;-596000
Cirque Du Freak: The Saga of Darren Shan;Cirque du Freak: The Vampire's Assistant;tt0450405;6.0;13698390;40000000;-26301610
The City of Ember;City of Ember;tt0970411;6.5;17929684;55000000;-37070316
City of God;Cidade de Deus;tt0317248;8.7;18062482;3300000;14762482
The Clan of the Cave Bear;The Clan of the Cave Bear;tt0090848;5.3;1953732;15000000;-13046268
Clear and Present Danger;Clear and Present Danger;tt0109444;6.9;215887717;45000000;170887717
The Client;The Client;tt0109446;6.7;117600000;45000000;72600000
Clockers;Clockers;tt0112688;6.9;13040603;25000000;-11959397
A Clockwork Orange;A Clockwork Orange;tt0066921;8.4;26589355;2200000;24389355
El Club Dumas;The Ninth Gate;tt0142688;6.7;58000000;38000000;20000000
Cold Mountain;Cold Mountain;tt0159365;7.2;173013509;79000000;94013509
The Color of Money;The Color of Money;tt0090863;7.0;52293982;13800000;38493982
The Color Purple;The Color Purple;tt0088939;7.8;146292009;15000000;131292009
Cool Hand Luke;Cool Hand Luke;tt0061512;8.2;16217773;3000000;13217773
The Count of Monte Cristo;The Count of Monte Cristo;tt0245844;7.7;75395048;35000000;40395048
Congo;Congo;tt0112715;5.0;152022101;50000000;102022101
Contact;Contact;tt0118884;7.4;171120329;90000000;81120329
Cool Hand Luke;Cool Hand Luke;tt0061512;8.2;16217773;3000000;13217773
Corazon salvaje;Wild at Heart;tt0100935;7.3;14560247;9500000;5060247
The Cowboys;The Cowboys;tt0068421;7.4;7500000;6000000;1500000
Crash;Crash;tt0115964;6.4;3168660;9000000;-5831340
O Crime do Padre Amaro;El crimen del Padre Amaro;tt0313196;6.8;5709616;1800000;3909616
Crouching Tiger, Hidden Dragon;Wo hu cang long;tt0190332;7.9;213525736;15000000;198525736
Cry Wolf;Cry_Wolf;tt0384286;5.9;15585495;1000000;14585495
Cycle of the Werewolf;Skyfall;tt1074638;7.8;1108561013;200000000;908561013
The Da Vinci Code;The Da Vinci Code;tt0382625;6.5;758239851;125000000;633239851
Dad (William Wharton);Dad;tt0097142;6.1;19738015;19000000;738015
Damnation Alley;Damnation Alley;tt0075909;5.2;8720000;17000000;-8280000
The Damned Utd;The Damned United;tt1226271;7.6;449558;10000000;-9550442
Dances with Wolves (Michael Blake);Dances with Wolves;tt0099348;8.0;424200000;19000000;405200000
The Dangerous Lives of Altar Boys (Chris Fuhrman);The Dangerous Lives of Altar Boys;tt0238924;7.1;1779284;12000000;-10220716
The Dark Is Rising Sequence;The Seeker: The Dark Is Rising;tt0484562;4.8;8791738;45000000;-36208262
The Day the World Ended (Gordon Thomas);When Time Ran Out...;tt0081747;4.3;1700000;20000000;-18300000
The Dead Take No Bows (Richard Bruke);Dressed to Kill;tt0080661;7.1;31899000;6500000;25399000
The Dead Zone;The Dead Zone;tt0085407;7.2;20766000;10000000;10766000
Dear John;Dear John;tt0989757;6.3;114977104;25000000;89977104
Death Sentence (Brian Garfield);Death Sentence;tt0804461;6.8;9479756;20000000;-10520244
Death Wish (Brian Garfield);Death Wish;tt0071402;7.0;22000000;3000000;19000000
December Boys (Michael Noonan);December Boys;tt0465436;6.6;46474;4000000;-3953526
The Deep (Peter Benchley);The Deep;tt0075925;6.1;47346365;9000000;38346365
The Deep End of the Ocean (Jacquelyn Mitchard);The Deep End of the Ocean;tt0120646;6.3;27655433;40000000;-12344567
Deliverance (James Dickey);Deliverance;tt0068473;7.8;46122355;2000000;44122355
D'entre les morts (Pierre Boileau and Thomas Narcejac);Vertigo;tt0052357;8.4;25000000;2479000;22521000
Desert of the Heart (Jane Rule);Desert Hearts;tt0089015;7.0;2492088;1250000;1242088
The Devil Wears Prada (Lauren Weisberger);The Devil Wears Prada;tt0458352;6.8;326551094;35000000;291551094
The Devil's Advocate (Andrew Neiderman);The Devil's Advocate;tt0118971;7.5;152944660;57000000;95944660
Diamonds Are Forever (Ian Fleming);Diamonds Are Forever;tt0066995;6.7;116000000;7200000;108800000
Disclosure (Michael Crichton);Disclosure;tt0109635;6.0;214015089;32000000;182015089
Il disprezzo (Alberto Moravia);Le mépris;tt0057345;7.7;528428;900000;-371572
Divine Secrets of the Ya-Ya Sisterhood (Rebecca Wells);Divine Secrets of the Ya-Ya Sisterhood;tt0279778;5.9;73839240;27000000;46839240
Do Androids Dream of Electric Sheep? (Philip K. Dick);Blade Runner;tt0083658;8.2;32868943;28000000;4868943
Doctor Zhivago;Doctor Zhivago;tt0059113;8.0;111721910;11000000;100721910
Don't Say a Word;Don't Say a Word;tt0260866;6.3;100020092;50000000;50020092
The Double Take;I Love Trouble;tt0110093;5.2;61947267;45000000;16947267
Dracula (Bram Stoker);Dracula;tt0103874;7.5;215862692;40000000;175862692
Dreamcatcher;Dreamcatcher;tt0285531;5.5;75715436;68000000;7715436
Dr. No;Dr. No;tt0055928;7.3;59600000;1100000;58500000
The Eagle of the Ninth;The Eagle;tt1034389;6.2;27122040;25000000;2122040
Eaters of the Dead;The 13th Warrior;tt0120657;6.6;32698899;85000000;-52301101
Election (Tom Perrotta);Election;tt0126886;7.3;14879556;8000000;6879556
Elephant Walk;Elephant Walk;tt0046951;6.3;3000000;3000000;0
Elmer Gantry;Elmer Gantry;tt0053793;7.9;11336000;3000000;8336000
Emma;Emma;tt0116191;6.8;22201883;6000000;16201883
Empire of the Sun;Empire of the Sun;tt0092965;7.8;66700000;35000000;31700000
The End of the Affair;The End of the Affair;tt0172396;7.2;10660147;23000000;-12339853
Endless Love;Endless Love;tt2318092;6.3;23393765;20000000;3393765
Enemy Mine;Enemy Mine;tt0089092;6.9;12303411;40000000;-27696589
The English Patient;The English Patient;tt0116209;7.4;231976425;27000000;204976425
Eragon;Eragon;tt0449010;5.1;249488115;100000000;149488115
Everything Is Illuminated;Everything Is Illuminated;tt0404030;7.5;1705595;7000000;-5294405
The Executioners;Cape Fear;tt0101540;7.3;182300000;35000000;147300000
Exit to Eden;Exit to Eden;tt0109758;4.0;6841570;25000000;-18158430
Exit Wounds;Exit Wounds;tt0242445;5.5;79958599;33000000;46958599
Exodus;Exodus;tt0053804;6.8;21750000;4000000;17750000
The Exorcist;The Exorcist;tt0070047;8.0;441306145;8000000;433306145
Falling Angel;Angel Heart;tt0092563;7.3;17185632;17000000;185632
The Fan (Peter Abrahams);The Fan;tt0116277;5.8;18573791;55000000;-36426209
Fantastic Mr Fox;Fantastic Mr. Fox;tt0432283;7.8;46471023;40000000;6471023
A Farewell to Arms;A Farewell to Arms;tt0050379;5.9;25000000;4353000;20647000
Farewell to the King (L'Adieu au Roi);Farewell to the King;tt0097334;6.3;2420917;20000000;-17579083
Father of Frankenstein;Gods and Monsters;tt0120684;7.5;6390032;3500000;2890032
Father Sky;Taps;tt0083169;6.7;35856053;14000000;21856053
Fear and Loathing in Las Vegas;Fear and Loathing in Las Vegas;tt0120669;7.7;10680275;18500000;-7819725
The Feather Men;Killer Elite;tt1448755;6.5;25093607;35000000;-9906393
The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring;tt0120737;8.8;871530324;93000000;778530324
Fever Pitch;Fever Pitch;tt0332047;6.2;42071069;30000000;12071069
Fight Club;Fight Club;tt0137523;8.9;100853753;63000000;37853753
Firefox (Craig Thomas);Firefox;tt0083943;5.9;70687344;21000000;49687344
Firestarter (Stephen King);Firestarter;tt0087262;6.0;15100000;15000000;100000
The Firm (John Grisham);The Firm;tt0106918;6.8;270248367;42000000;228248367
First Blood;First Blood;tt0083944;7.7;125212904;14000000;111212904
The First Wives Club;The First Wives Club;tt0116313;6.2;181489203;26000000;155489203
Flight of the Intruder;Flight of the Intruder;tt0099587;5.7;14587732;35000000;-20412268
Focus (Arthur Miller);Focus;tt2381941;6.6;159012963;50100000;108912963
For Love of the Game;For Love of the Game;tt0126916;6.5;35168395;80000000;-44831605
For Whom the Bell Tolls;For Whom the Bell Tolls;tt0035896;7.0;17800000;3000000;14800000
Force 10 From Navarone;Force 10 from Navarone;tt0077572;6.3;7230000;5000000;2230000
Forever Amber;Forever Amber;tt0039391;6.8;16000000;6000000;10000000
Forrest Gump;Forrest Gump;tt0109830;8.8;677945399;55000000;622945399
The Fox and the Hound;The Fox and the Hound;tt0082406;7.3;63456988;12000000;51456988
